Code variable,Déscription,Unités,Groupement temporel,Agrégation
clt,Total Cloud Cover Percentage,%,hourly,area: time: mean
evspsbl,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,hourly,area: time: mean
hurs,Near-Surface Relative Humidity,%,hourly,area: mean time: point
huss,Near-Surface Specific Humidity,1,hourly,area: mean time: point
pr,Precipitation,kg m-2 s-1,hourly,area: time: mean
prc,Convective Precipitation,kg m-2 s-1,hourly,area: time: mean
prfr,Freezing rain Flux,kg m-2 s-1,hourly,area: time: mean
ps,Surface Air Pressure,Pa,hourly,area: mean time: point
psl,Sea Level Pressure,Pa,hourly,area: mean time: point
rlds,Surface Downwelling Longwave Radiation,W m-2,hourly,area: time: mean
rlus,Surface Upwelling Longwave Radiation,W m-2,hourly,area: time: mean
rlut,TOA Outgoing Longwave Radiation,W m-2,hourly,area: time: mean
rsds,Surface Downwelling Shortwave Radiation,W m-2,hourly,area: time: mean
rsdt,TOA Incident Shortwave Radiation,W m-2,hourly,area: time: mean
rsus,Surface Upwelling Shortwave Radiation,W m-2,hourly,area: time: mean
sfcWind,Near-Surface Wind Speed,m s-1,hourly,area: mean time: point
tas,Near-Surface Air Temperature,K,hourly,area: mean time: point
uas,Eastward Near-Surface Wind,m s-1,hourly,area: mean time: point
vas,Northward Near-Surface Wind,m s-1,hourly,area: mean time: point
areacella,Atmosphere Grid-Cell Area,m2,invariant,area: sum
classFrac,Land Area Fraction for the Canadian Land Surface Scheme,%,invariant,area: mean
clayfrac,Clay Fraction,1,invariant,area: mean where land
cropFrac,Percentage Crop Cover,%,invariant,area: mean where land over all_area_types
depthl,Lake Depth,m,invariant,area: mean
dtb,Depth to Bedrock,m,invariant,area: mean
fldcapacity,Field Capacity,%,invariant,area: mean where land
grassFrac,Natural Grass Area Percentage.,%,invariant,area: mean where land over all_area_types
ksat,Saturated Hydraulic Conductivity,um s-1,invariant,area: mean where land
mrsofc,Capacity of Soil to Store Water  (Field Capacity),kg m-2,invariant,area: mean where land
orog,Surface Altitude,m,invariant,area: mean
porosity,Soil Porosity,1,invariant,area: mean
rootd,Maximum Root Depth,m,invariant,area: mean
sandfrac,Sand Fraction,1,invariant,area: mean where land
sftgif,Percentage of the Grid Cell Covered by Glacier,%,invariant,area: mean
sftlaf,Percentage of the Grid Cell Occupied by Lake,%,invariant,area: mean
sftlf,Percentage of the Grid Cell Occupied by Land,%,invariant,area: mean
sfturf,Percentage of the Grid Cell Occupied by Urban Area,%,invariant,area: mean
treeFracPrimDec,Percentage Cover by Deciduous Tree.,%,invariant,area: mean where land over all_area_types
treeFracPrimEver, Percentage Cover by Evergreen Tree.,%,invariant,area: mean where land over all_area_types
wetlandFrac,Wetland Fraction,%,invariant,area: mean where land
